attemptId,contentId,contentType,date,datetime,duration,interactions,isDeleted,isLive,origin,scope,sessionId,status,userId
8uzv3,631713ebd77eec3905ae77c1,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:28.4400,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ebd77eec3905ae77c4,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:30.2990,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ead77eec3905ae77af,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:33.0859,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,63171a8fd77eec3905ae77fc,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:33.7230,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
uay2o,6311eac7d77eec3905ae76d9,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:34.0139,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,67f7e0b47b38949e5d844d3bfaf7ceff9f53e3d6a4548b3aacab81a7075cbd56,completed,a931ee378af64d2c6b99181d2ff408c9747472db83949f9b693f02bbc4b6ec7f
8uzv3,631713ebd77eec3905ae77c5,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:34.4809,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ebd77eec3905ae77c8,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:36.0639,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
uay2o,6311eac7d77eec3905ae76d5,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:37.1589,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,67f7e0b47b38949e5d844d3bfaf7ceff9f53e3d6a4548b3aacab81a7075cbd56,completed,a931ee378af64d2c6b99181d2ff408c9747472db83949f9b693f02bbc4b6ec7f
8uzv3,631713ead77eec3905ae77b0,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:38.2039,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ead77eec3905ae77a9,article,2023-01-20T00:00:00.0000,2023-01-20T15:01:38.2899,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
uay2o,6311eb2dd77eec3905ae76dc,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:38.2960,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,67f7e0b47b38949e5d844d3bfaf7ceff9f53e3d6a4548b3aacab81a7075cbd56,completed,a931ee378af64d2c6b99181d2ff408c9747472db83949f9b693f02bbc4b6ec7f
8uzv3,631713ebd77eec3905ae77c9,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:38.7379,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ead77eec3905ae77b1,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:38.8159,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ead77eec3905ae77aa,article,2023-01-20T00:00:00.0000,2023-01-20T15:01:38.9019,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ead77eec3905ae77a6,page,2023-01-20T00:00:00.0000,2023-01-20T15:01:38.9860,49339,32,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ebd77eec3905ae77ca,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:39.0959,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
uay2o,6311eb2dd77eec3905ae76df,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:41.8919,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,67f7e0b47b38949e5d844d3bfaf7ceff9f53e3d6a4548b3aacab81a7075cbd56,completed,a931ee378af64d2c6b99181d2ff408c9747472db83949f9b693f02bbc4b6ec7f
8uzv3,631713ead77eec3905ae77a6,page,2023-01-20T00:00:00.0000,2023-01-20T15:01:43.2660,53836,33,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,exited,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,63171bdbd77eec3905ae7800,page,2023-01-20T00:00:00.0000,2023-01-20T15:01:43.3459,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,entered,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
uay2o,6311eb2dd77eec3905ae76db,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:46.0309,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,67f7e0b47b38949e5d844d3bfaf7ceff9f53e3d6a4548b3aacab81a7075cbd56,completed,a931ee378af64d2c6b99181d2ff408c9747472db83949f9b693f02bbc4b6ec7f
8uzv3,63171bdcd77eec3905ae783d,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:47.1589,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
uay2o,6311eb68d77eec3905ae76e2,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:47.2239,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,67f7e0b47b38949e5d844d3bfaf7ceff9f53e3d6a4548b3aacab81a7075cbd56,completed,a931ee378af64d2c6b99181d2ff408c9747472db83949f9b693f02bbc4b6ec7f
8uzv3,63171bdcd77eec3905ae7812,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:48.5380,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,63171c74d77eec3905ae7846,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:49.2500,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,63171c66d77eec3905ae7844,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:49.3369,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,63171da9d77eec3905ae7849,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:49.4189,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,63171da9d77eec3905ae7848,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:49.5079,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
uay2o,6311eb68d77eec3905ae76e5,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:50.3320,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,67f7e0b47b38949e5d844d3bfaf7ceff9f53e3d6a4548b3aacab81a7075cbd56,completed,a931ee378af64d2c6b99181d2ff408c9747472db83949f9b693f02bbc4b6ec7f
8uzv3,63171bdcd77eec3905ae783e,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:52.7179,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
uay2o,6311eb68d77eec3905ae76e1,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:53.1080,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,67f7e0b47b38949e5d844d3bfaf7ceff9f53e3d6a4548b3aacab81a7075cbd56,completed,a931ee378af64d2c6b99181d2ff408c9747472db83949f9b693f02bbc4b6ec7f
uay2o,6311ebb6d77eec3905ae76e8,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:54.2760,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,67f7e0b47b38949e5d844d3bfaf7ceff9f53e3d6a4548b3aacab81a7075cbd56,completed,a931ee378af64d2c6b99181d2ff408c9747472db83949f9b693f02bbc4b6ec7f
8uzv3,63171bdcd77eec3905ae7813,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:54.2809,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,63171e46d77eec3905ae784d,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:54.9990,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,63171e46d77eec3905ae784c,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:55.0690,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,63171e76d77eec3905ae7850,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:56.1289,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
