_component,_id,_parentId,_selectable,attemptId,body,date,datetime,displayTitle,group,instruction,isCorrect,isIncorrect,isPartlyCorrect,scope,selected,selectedCorrect,selectedIncorrect,selectedPartlyCorrect,sessionId,title,titleId,userId
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,ojc3o,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T13:59:49.8719,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,6db9d6ac438b42b4826280791c635c53fc334e6c41efd76924d69cddb14e83ed,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),e953400937ed43ec4c010f63af6464559e28bd0b2612622d3189e0c061b7f28a
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,ci3yq,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T15:49:12.1440,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,e4d17cf90a53446d7a2bfff45349db290676073916f9a6a2e91ef426953702bf,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),e4d55512ecb4f6977c7197495bb2515ce0cd49f716216438c84d95e8e19f5baf
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,w2y1f,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T16:03:54.4679,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,1b5f46cf89c31b9119131d57f2f20f2663f237071e44b2a2ab3fae37a9b67648,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),eb35379de61e848b0a5da3da84431434faaa44b7c1349851be9066f218395616
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,6slp2,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T16:15:33.0629,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,bc0049860809e9a1df892c58f25658726d97a7b5e96bd2d657e7acff82885ba9,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),5e2eb607c979a1507819583930dd10a22e81d8f17b2b667d7f846a52c02646a5
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,x0gxz,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T16:15:49.9769,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,fa2ee0e84f8f872941ca5f34b0681f7d37e061d805b48dc83c4336cef0c0f49f,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),80c21ea62e5c15e3d5f8e1cf9d8a7bd3b59ad4387cd96c9121fc18ffa563cfeb
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,sle87,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T16:17:23.9370,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,60c8c978b1f6ab3c3118a5751b9e192e5e74b8a0a7c7b2aff962991118171782,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),1888168b03e3b24a71ae44a1f3440fa07576831710df37a6b89b89945eb1fd89
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,wqmq9,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T16:22:19.9409,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,bd76155df610a76757f689202e18080bb652a8aa8d84935340fc3381987acc92,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),708d763e492a40d2af9807752562e9666fd0ef0fcd324a5ee48409c08a52ccc9
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,8o0vx,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T16:30:05.2699,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,7c62a4e969d483623767619cb96ab59355714d5a7f59a53082fcdd7156a53e0e,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),55092dcbdef353564631b8f6adb918a2ca4b5a35fbefbf0dd7a906a2d5ea644f
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,c6qm2,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T19:12:06.1189,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,3e6262315f153255e304646e9159bb87c5c13ed35d4bd609738c1b71f848bed4,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),6fddd568a7a23843713d6ed529ef99d9995d703148a5174c663d8776acae90e5
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,g532a,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T21:30:00.1900,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,34afc1a0b5002c57528fbcb59b50ccced814eca6258bfe6072d77390e7aeeda5,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),94a0d925f7873289a4e99d030c5dfd9e86e134f82960aa12123625a0cf55871f
